City,Country Code,Lat [deg],Lng [deg],Temperature [C],Humidity [%],Cloudiness [%],Wind Speed (kph]
chimbote,pe,-9.0853,-78.5783,17.220000000000027,85,89,2.92
benguela,ao,-12.5763,13.4055,25.439999999999998,58,0,3.95
cobija,bo,-11.0267,-68.7692,19.27000000000004,67,2,0.43
denpasar,id,-8.65,115.2167,26.810000000000002,78,20,5.14
victoria,sc,22.2855,114.1577,30.980000000000018,81,18,0.89
ribeira do pombal,br,-10.8344,-38.5358,20.82000000000005,87,74,4.49
mwinilunga,zm,-11.7358,24.4293,23.53000000000003,26,0,4.67
ambulu,id,-8.345,113.6058,24.090000000000032,81,12,2.18
ariquemes,br,-9.9133,-63.0408,23.129999999999995,61,62,0.12
olinda,br,-8.0089,-34.8553,20.850000000000023,94,75,3.09
luanda,ao,-8.8368,13.2343,24.939999999999998,63,30,3.02
maceio,br,-9.6658,-35.7353,23.689999999999998,83,40,2.57
lata,sb,40.1629,-8.3327,19.590000000000032,65,94,1.99
morros,br,-9.4467,-46.3003,21.350000000000023,64,18,5.84
llata,pe,-9.4167,-76.7833,5.850000000000023,73,38,1.74
pucallpa,pe,-8.3791,-74.5539,19.03000000000003,76,25,0.48
faanui,pf,-16.4833,-151.75,25.610000000000014,69,13,5.04
porto walter,br,-8.2686,-72.7439,19.32000000000005,72,45,0.32
pitimbu,br,-7.4706,-34.8086,22.33000000000004,77,47,6.12
san cristobal,ec,7.7669,-72.225,19.100000000000023,96,100,0.7
gizo,sb,-8.103,156.8419,26.160000000000025,83,100,1.47
jacareacanga,br,-6.2222,-57.7528,22.28000000000003,62,42,0.56
merauke,id,-8.4667,140.3333,25.470000000000027,78,100,4.69
auki,sb,-8.7676,160.7034,25.340000000000032,85,99,2.31
soyo,ao,-6.1349,12.3689,25.420000000000016,70,94,2.93
oeiras,br,-7.0253,-42.1311,24.930000000000007,49,1,6.15
mlandizi,tz,-6.7,38.7333,29.140000000000043,28,0,6.18
padang,id,-0.9492,100.3543,30.03000000000003,81,55,1.8
loandjili,cg,-4.7561,11.8578,26.060000000000002,73,40,4.63
nisia floresta,br,-6.0911,-35.2086,23.210000000000036,71,7,5.72
nabire,id,-3.3667,135.4833,25.670000000000016,81,100,0.87
teluknaga,id,-6.0989,106.6381,30.07000000000005,58,20,5.81
itaituba,br,-4.2761,-55.9836,23.060000000000002,63,45,0.69
port-gentil,ga,-0.7193,8.7815,24.980000000000018,83,40,1.54
kiunga,pg,-6.1219,141.2906,22.560000000000002,100,100,0.47
ambon,id,-3.6954,128.1814,26.08000000000004,89,40,1.54
tambun,id,-6.2641,107.0712,30.950000000000045,51,20,6.17
tabou,ci,4.423,-7.3528,26.53000000000003,65,88,3.02
tefe,br,-3.3542,-64.7114,22.24000000000001,96,85,0.62
vanimo,pg,-2.6741,141.3028,23.49000000000001,87,100,1.69
ilebo,cd,-4.3167,20.5833,37.120000000000005,17,15,3.11
buala,sb,-8.145,159.5921,26.170000000000016,84,98,2.71
san patricio,mx,28.017,-97.5169,25.379999999999995,93,0,2.52
takoradi,gh,4.8845,-1.7554,27.129999999999995,61,64,3.77
coahuayana,mx,18.7333,-103.6833,24.939999999999998,95,98,1.21
narok,ke,-1.0783,35.8601,22.340000000000032,40,15,2.97
luwuk,id,-0.9516,122.7875,25.379999999999995,89,55,3.29
hambantota,lk,6.1241,81.1185,32.19,66,75,8.23
loa janan,id,-0.583,117.095,25.760000000000048,83,26,2.83
barcelos,br,41.5388,-8.6151,19.640000000000043,81,100,1.34
mogadishu,so,2.0371,45.3438,27.930000000000007,57,75,9.26
mwingi,ke,-0.9344,38.0601,28.03000000000003,29,12,4.8
urucara,br,-2.5364,-57.76,23.810000000000002,76,93,0.8
sibolga,id,1.7427,98.7792,27.180000000000007,80,87,0.56
touros,br,-5.1989,-35.4608,22.5,73,4,7.53
